State_or_Territory,Governor,Party,Inauguration,End_Term,Primary_Handle,Secondary_Handle,
Alabama,Kay Ivey,Republican,10-Apr-17,2023,GovernorKayIvey, , 
Alaska,Mike Dunleavy,Republican,3-Dec-18,2022,GovDunleavy, ,
Arizona,Doug Ducey,Republican,5-Jan-15,2023,dougducey, ,
Arkansas,Asa Hutchinson,Republican,13-Jan-15,2023,AsaHutchinson, , 
California,Gavin Newsom,Democratic,7-Jan-19,2023,GavinNewsom, ,
Colorado,Jared Polis,Democratic,8-Jan-19,2023,GovofCO,jaredpolis, 
Connecticut,Ned Lamont,Democratic,9-Jan-19,2023,GovNedLamont, , 
Delaware,John Carney,Democratic,17-Jan-17,2025,JohnCarneyDE, , 
Florida,Ron DeSantis,Republican,8-Jan-19,2023,GovRonDeSantis,RonDeSantisFL,
Georgia,Brian Kemp,Republican,14-Jan-19,2023,GovKemp,BrianKempGA,
Hawaii,David Ige,Democratic,1-Dec-14,2022,GovHawaii,teamdavidige,
Idaho,Brad Little,Republican,7-Jan-19,2023,GovernorLittle, ,
Illinois,J. B. Pritzker,Democratic,14-Jan-19,2023,GovPritzker,JBPritzker,
Indiana,Eric Holcomb,Republican,9-Jan-17,2025,GovHolcomb, , 
Iowa,Kim Reynolds,Republican,24-May-17,2023,IAGovernor,KimReynoldsIA,
Kansas,Laura Kelly,Democratic,14-Jan-19,2023,GovLauraKelly,LauraKellyKS,
Kentucky,Andy Beshear,Democratic,10-Dec-19,2023,GovAndyBeshear,AndyBeshearKY,
Louisiana,John Bel Edwards,Democratic,11-Jan-16,2024,LouisianaGov,JohnBelEdwards,
Maine,Janet Mills,Democratic,2-Jan-19,2023,GovJanetMills, ,
Maryland,Larry Hogan,Republican,21-Jan-15,2023,GovLarryHogan,LarryHogan,
Massachusetts,Charlie Baker,Republican,8-Jan-15,2023,MassGovernor,CharlieBakerMA, 
Michigan,Gretchen Whitmer,Democratic,1-Jan-19,2023,GovWhitmer,gretchenwhitmer,
Minnesota,Tim Walz,Democratic–Farmer–Labor,7-Jan-19,2023,GovTimWalz,Tim_Walz,
Mississippi,Tate Reeves,Republican,14-Jan-20,2024,tatereeves, , 
Missouri,Mike Parson,Republican,1-Jun-18,2025,GovParsonMO,mikeparson,
Montana,Steve Bullock,Democratic,"January 7th, 2013",2021,GovernorBullock,stevebullockmt, 
Nebraska,Pete Ricketts,Republican,8-Jan-15,2023,GovRicketts, , 
Nevada,Steve Sisolak,Democratic,7-Jan-19,2023,GovSisolak,SteveSisolak,
New Hampshire,Chris Sununu,Republican,5-Jan-17,2023,GovChrisSununu,ChrisSununu,
New Jersey,Phil Murphy,Democratic,16-Jan-18,2022,GovMurphy, , 
New Mexico,Michelle Lujan Grisham,Democratic,1-Jan-19,2023,GovMLG,RepLujanGrisham, 
New York,Andrew Cuomo,Democratic,1-Jan-11,2022[1],NYGovCuomo,andrewcuomo,
North Carolina,Roy Cooper,Democratic,1-Jan-17,2025,NC_Governor,RoyCooperNC,
North Dakota,Doug Burgum,Republican,15-Dec-16,2024,DougBurgum, , 
Ohio,Mike DeWine,Republican,14-Jan-19,2023,GovMikeDeWine,MikeDeWine,
Oklahoma,Kevin Stitt,Republican,14-Jan-19,2023,GovStitt, , 
Oregon,Kate Brown,Democratic,18-Feb-15,2023,OregonGovBrown, , 
Pennsylvania,Tom Wolf,Democratic,20-Jan-15,2023,GovernorTomWolf,TomWolfPA,
Rhode Island,Gina Raimondo,Democratic,"January 6th, 2015",2021,GovRaimondo,GinaRaimondo,
South Carolina,Henry McMaster,Republican,24-Jan-17,2023,henrymcmaster, ,
South Dakota,Kristi Noem,Republican,5-Jan-19,2023,govkristinoem,KristiNoem,
Tennessee,Bill Lee,Republican,19-Jan-19,2023,GovBillLee,BillLeeTN,
Texas,Greg Abbott,Republican,20-Jan-15,2023,GovAbbott,GregAbbott_TX,
Utah,Gary Herbert,Republican,"August 11th, 2009",2021,GovHerbert, ,
Vermont,Phil Scott,Republican,5-Jan-17,2023,GovPhilScott, , 
Virginia,Ralph Northam,Democratic,13-Jan-18,2022,GovernorVA,RalphNortham,
Washington,Jay Inslee,Democratic,16-Jan-13,2025,GovInslee,JayInslee,
West Virginia,Jim Justice,Republican,16-Jan-17,2025,WVGovernor,JimJusticeWV,
Wisconsin,Tony Evers,Democratic,7-Jan-19,2023,GovEvers, , 
Wyoming,Mark Gordon,Republican,7-Jan-19,2023,GovernorGordon, ,
